school_name,department,teacher_name,title,research_fields,teacher_unit,email,teacher_profile_url,source_url,source_section,confidence,extract_method
北京工业大学,机械与能源工程学院,阮嘉赓,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1475/7362.htm,https://jxny.bjut.edu.cn/szdw/gccrc.htm,高层次人才,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陆帅冰,硕士生导师,,机械与能源工程学院,,https://cs.bjut.edu.cn/info/1509/3668.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈东菊,博士生导师；硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1425/7490.htm,https://jxny.bjut.edu.cn/szdw/jxgc.htm,机械工程,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈丽华,硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1140/3246.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈亮,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1481.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈夏,硕士生导师,,机械与能源工程学院,,https://yanzhao.bjut.edu.cn/info/1476/7731.htm,https://jxny.bjut.edu.cn/szdw/dlgcjgcrwl.htm,动力工程及工程热物理,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈子勇,博士生导师,,机械与能源工程学院,,https://clxy.bjut.edu.cn/info/1094/1671.htm,https://jxny.bjut.edu.cn/szdw/dsd/bssds.htm,博士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈宁,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1171/1502.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈晨,硕士生导师,,机械与能源工程学院,,https://cmt.bjut.edu.cn/info/1215/1787.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
北京工业大学,机械与能源工程学院,陈杰,硕士生导师,,机械与能源工程学院,,https://msm.bjut.edu.cn/info/1097/2718.htm,https://jxny.bjut.edu.cn/szdw/dsd/sssds.htm,硕士生导师,0.78,bjut_faculty_list_anchor
